Vegetable,Nitrogen (N),Phosphorus (P),Potassium (K),Rainfall (mm),pH,Temperature,Humidity
Carrots,134,99,116,184.478106,6.1827,16.281172,74.319401
Cucumbers,153,135,146,211.934002,5.922564,24.168286,60.809301
Peas,147,112,131,190.653665,6.619004,17.963822,63.485796
Brussels sprouts,184,160,197,212.525887,6.448609,19.070865,61.784574
Chinese cabbage,179,136,179,190.005673,5.562617,18.513956,60.833989
Peas,138,117,139,194.151176,5.699036,17.014536,64.556461
Lettuce,150,111,166,217.39067,6.845033,21.394741,66.163596
Celery,122,107,131,172.726089,6.180038,17.698445,71.389613
Lettuce,175,119,166,218.414991,6.056494,19.100698,67.057872
Eggplant,155,112,139,210.790092,7.139687,24.455656,60.505242
Zucchini,179,139,152,225.319101,6.953076,24.826503,60.534553
Cauliflower,179,144,175,197.320331,6.518905,18.126003,61.626458
Radishes,125,91,113,163.4354,6.361343,21.433118,66.618019
Cucumbers,157,140,158,211.715746,5.981307,25.381195,60.849877
Eggplant,142,128,144,206.279199,6.856661,25.404682,62.299123
Kale,147,104,149,215.787596,6.962754,15.721296,67.500447
Mustard greens,131,109,137,188.52355,6.024163,18.330854,64.599338
Spinach,160,134,166,205.375415,6.565376,18.475716,65.662481
Celery,127,104,130,178.240362,6.870868,16.974393,72.317644
Radishes,112,82,117,150.620312,6.915178,20.637852,62.366938
Chinese cabbage,185,146,177,201.38894,6.286121,20.793016,69.177833
Eggplant,151,123,138,206.881971,7.005411,24.647263,60.918121
Spinach,147,140,171,197.683778,6.111496,16.016249,67.282201
Cauliflower,181,150,169,194.90758,6.21637,23.89875,63.597164
Chinese cabbage,185,146,167,199.725347,6.762063,22.003172,66.190515
Beans,156,117,145,207.819454,7.465503,20.303607,61.974257
Spinach,149,127,163,206.33977,6.091056,16.131478,60.145195
Cucumbers,160,140,141,217.972107,6.449152,22.223338,61.882018
Cucumbers,162,125,155,201.911492,6.035139,25.157251,65.552385
Peas,133,117,129,199.503023,6.052275,18.435148,64.012511
Broccoli,200,130,183,215.392902,5.890798,18.944491,68.985198
Bell peppers,145,116,165,188.300393,6.646509,23.13592,67.276315
Chinese cabbage,177,133,167,203.010154,5.714762,23.93999,61.078383
Lettuce,174,110,167,211.220925,5.508816,22.214822,61.779344
Cucumbers,154,124,141,200.217045,6.853791,21.481686,66.349286
Cucumbers,156,122,152,210.208918,6.191167,24.22744,65.576315
Lettuce,158,116,153,208.697664,6.042631,23.776956,61.58857
Kale,149,112,130,219.564683,6.470337,17.530269,69.619611
Peas,147,112,132,180.417615,6.894246,19.063543,66.48129
Brussels sprouts,192,163,182,214.495147,5.677016,15.21801,67.889624
Peas,145,104,124,190.696201,6.56053,15.236908,68.495832
Carrots,123,96,120,189.317915,6.760534,18.831501,79.179659
Mustard greens,149,94,136,195.413825,6.867235,21.006222,69.938904
Bell peppers,138,115,161,190.758419,6.867596,24.229662,66.065807
Tomatoes,179,159,194,222.703297,6.262525,22.857878,69.896128
Chinese cabbage,183,135,171,206.234301,6.694416,21.769771,61.399928
Lettuce,170,113,173,217.12369,5.553018,23.190171,61.589456
Cabbage,216,163,203,195.438052,6.738613,16.596139,73.923764
Chinese cabbage,172,139,163,197.429446,5.923184,20.250108,67.803746
Spinach,148,131,177,209.23309,6.745139,18.647274,69.627016
Chinese cabbage,173,136,168,207.547707,6.428547,18.976913,67.436341
Beans,158,121,136,218.066733,7.219851,21.147354,60.962222
Lettuce,150,119,166,215.758234,5.879746,22.608325,68.638046
Cauliflower,189,136,173,199.965246,6.483381,20.736281,64.082072
Cabbage,203,157,217,188.886426,7.027055,18.594958,71.701384
Mustard greens,135,99,133,196.429936,5.837474,18.085711,64.139216
Beans,151,129,133,216.418832,6.80506,19.791812,62.347083
Cabbage,208,154,218,198.949092,6.603905,16.687145,79.999684
Kale,147,120,133,203.211312,5.719155,18.185774,61.028609
Chinese cabbage,170,149,172,206.023182,6.700978,21.127167,62.87881
Tomatoes,165,142,195,235.218059,6.567384,25.810528,68.112007
Cucumbers,161,127,142,202.105,6.082175,25.272148,61.080141
Carrots,128,95,114,174.166016,7.237794,17.412632,79.813317
Zucchini,174,130,167,237.528581,6.368584,23.395156,64.793416
Carrots,131,93,115,188.450481,7.326908,17.372424,74.053615
Mustard greens,143,100,131,182.371244,5.710213,22.578709,65.918473
Radishes,121,99,104,162.053319,5.81334,23.283546,64.940961
Cauliflower,182,144,175,190.188264,6.132199,18.495741,66.33731
Celery,126,108,135,179.847477,7.394211,19.049063,73.139792
Tomatoes,167,153,190,225.36131,5.507077,20.808849,66.920685
Brussels sprouts,194,166,182,213.470158,6.669044,16.783297,69.379007
Bell peppers,149,109,157,190.789357,6.991883,23.461677,66.757003
Cauliflower,176,144,169,204.853811,6.728427,22.576283,69.460953
Celery,127,106,144,171.922008,6.450364,19.900103,78.607456
Chinese cabbage,173,144,167,199.387286,6.897088,20.076519,69.84233
Bell peppers,130,105,164,183.391023,6.877951,20.533091,65.734853
Mustard greens,141,96,120,186.488469,6.950595,23.516354,67.103224
Bell peppers,134,117,167,190.86259,6.040542,24.682691,61.740362
Tomatoes,179,154,187,239.165424,6.210661,25.012071,67.725025
Broccoli,191,134,194,216.868567,6.675563,20.246954,63.323089
Cabbage,214,167,217,185.803468,7.464687,19.720862,72.604393
Cucumbers,170,120,148,219.182947,6.93462,25.831876,68.113263
Cauliflower,190,143,171,194.970713,6.014299,21.865944,61.845352
Cauliflower,188,142,166,198.793978,6.783041,21.560455,68.301873
Zucchini,160,134,158,230.608179,5.513937,21.208519,67.083259
Carrots,128,110,105,182.375172,6.003731,19.089101,77.266216
Cabbage,200,168,208,184.371683,6.741343,17.032819,75.938226
Chinese cabbage,182,146,171,195.069033,6.888049,20.416861,62.898718
Peas,142,111,129,198.871449,6.486,15.476153,64.358615
Spinach,140,136,173,205.443157,6.323589,17.741133,60.345926
Carrots,137,98,117,186.518626,6.84962,15.742294,78.683499
Bok choy,170,130,142,176.948561,5.913162,20.367382,67.124446
Carrots,130,94,104,178.131713,6.757856,18.449362,77.372915
Tomatoes,172,157,196,236.545237,6.717541,24.567,65.654395
Zucchini,164,138,164,223.538332,6.511907,22.969134,61.604101
Cabbage,202,164,210,193.595498,6.482247,16.786668,70.643051
Cucumbers,165,128,150,211.706213,6.413528,25.10309,60.742111
Tomatoes,168,143,180,225.675442,6.214954,22.493991,66.138076
Brussels sprouts,192,158,198,215.807552,6.940392,19.820769,63.078157
Beans,155,116,135,217.240415,7.125526,20.86764,69.945358
Chinese cabbage,175,136,166,199.8141,6.782619,21.954043,62.351958
Eggplant,142,116,139,206.304625,6.018826,23.165235,67.505714
Celery,127,104,133,160.411586,7.15495,16.524414,74.97121
Bok choy,157,123,147,176.791191,6.294485,18.685936,67.100456
Kale,140,102,132,206.870218,6.455647,16.812029,61.356888
Broccoli,182,140,199,212.064939,6.937309,22.976105,68.703889
Spinach,142,125,163,203.671804,5.58698,18.789273,64.149792
Mustard greens,138,101,125,183.175874,6.330437,23.305324,64.663827
Cauliflower,189,147,168,204.041293,5.600273,22.636724,68.127232
Mustard greens,133,107,121,188.438704,5.88477,19.127177,66.305922
Zucchini,174,136,161,229.086545,5.938628,20.801132,65.369387
Mustard greens,131,104,126,188.256332,6.446291,18.345562,67.844453
Beans,160,114,148,216.341054,7.109148,22.978327,68.765078
Chinese cabbage,177,133,176,209.348074,6.474918,19.497993,65.426821
Peas,149,107,137,194.444422,6.657269,15.991028,63.729243
Eggplant,141,116,142,212.646224,6.124517,20.109441,69.947682
Kale,157,115,144,215.585501,5.978315,19.520049,61.37908
Chinese cabbage,175,134,175,193.668832,6.961577,20.906365,65.856783
Lettuce,159,111,167,209.431963,6.247122,22.988908,64.337721
Broccoli,192,120,192,203.718825,6.635029,19.816235,62.661455
Cucumbers,158,122,149,212.793521,6.313919,23.247254,61.57282
Cauliflower,172,140,172,201.963844,6.278017,21.468285,62.193673
Brussels sprouts,183,163,182,221.539859,6.987211,18.833078,63.685105
Kale,159,106,141,201.545184,5.520453,18.783753,61.165283
Cabbage,217,160,219,186.308217,7.295402,16.675342,71.517779
Zucchini,166,134,168,226.275421,6.475793,24.146412,68.398561
Celery,134,119,150,169.44596,6.027445,18.940199,77.184488
Eggplant,142,124,134,200.560882,6.826922,23.562697,63.694037
Mustard greens,132,99,126,187.543643,6.145902,23.526484,69.34118
Eggplant,157,129,144,212.19114,6.163944,21.926358,68.005195
Bell peppers,142,104,152,196.806139,6.07044,21.389018,69.9001
Brussels sprouts,187,164,180,214.2504,5.822873,15.470264,60.05744
Eggplant,141,121,148,214.684856,6.444713,24.03178,60.972511
Brussels sprouts,185,167,199,228.589687,6.667927,19.267297,63.87511
Bok choy,151,133,155,172.407686,6.288986,18.453424,60.623837
Brussels sprouts,196,150,193,215.621571,6.623938,15.526517,64.387021
Cucumbers,160,128,156,212.009642,6.696371,21.220885,60.950487
Cauliflower,187,136,173,191.787025,5.594137,20.364803,69.114232
Bell peppers,139,111,153,192.515826,6.787695,24.12298,67.916898
Broccoli,186,124,181,204.068151,6.936173,21.425073,69.564071
Bok choy,168,136,147,176.045142,6.582294,21.809893,63.022922
Eggplant,157,111,147,218.980209,6.385076,21.20632,65.855386
Lettuce,171,110,175,204.502219,6.749568,22.700176,63.851168
Celery,134,120,140,163.821169,6.149287,15.147768,78.541119
Carrots,129,108,109,171.109628,6.077811,17.829337,79.693846
Zucchini,160,144,154,231.343545,6.680656,22.504117,67.594955
Brussels sprouts,181,153,193,220.910523,6.723406,19.706448,67.893735
Mustard greens,139,108,127,180.987426,6.481112,22.790655,64.732106
Cucumbers,168,122,153,201.094761,5.909241,22.324981,62.149011
Lettuce,164,116,172,205.769596,5.987558,23.034943,69.542276
Cauliflower,176,150,162,208.629187,6.342297,22.90399,67.784587
Brussels sprouts,199,161,190,212.094005,6.405029,18.135038,61.284484
Kale,141,111,132,215.204185,6.786441,15.02,69.392395
Cauliflower,170,139,163,196.720935,6.045489,18.472975,61.859337
Beans,151,123,135,213.762215,6.890711,19.303466,67.56519
Eggplant,151,122,142,212.591995,6.265546,23.291027,67.478109
Lettuce,172,101,167,208.642108,6.51795,18.372337,64.205513
Beans,144,122,132,219.212739,6.302701,18.647541,68.941449
Zucchini,171,143,157,231.605871,5.855809,20.685039,64.678928
Chinese cabbage,174,145,169,197.627989,6.69379,21.603897,68.821228
Beans,148,122,145,219.418122,6.184215,18.345102,68.006578
Kale,148,105,134,203.40373,6.761644,16.232224,65.928797
Cucumbers,162,131,152,208.719132,5.67668,25.985219,61.899779
Bok choy,170,121,155,185.528874,6.611713,20.650798,63.675406
Broccoli,192,127,197,202.209788,5.578844,20.566012,60.666571
Mustard greens,148,101,125,193.274357,6.110364,21.007436,66.049527
Tomatoes,178,156,188,231.2067,6.804345,25.164862,68.979447
Radishes,111,98,104,158.190649,6.024408,19.68107,68.509579
Zucchini,180,150,163,235.06141,6.57445,23.985215,69.376922
Chinese cabbage,175,149,178,191.626623,5.878486,22.371404,67.980138
Peas,147,106,132,184.29515,6.824885,16.749533,60.751123
Broccoli,198,138,184,202.033082,6.423532,18.843124,66.745307
Bell peppers,146,114,170,195.326222,5.939119,22.691412,60.68306
Mustard greens,138,107,137,194.498148,6.786444,23.125621,63.176238
Bell peppers,140,103,165,196.329074,6.914996,24.564474,69.241839
Radishes,126,100,105,157.64734,6.102603,21.402038,68.337333
Celery,135,103,149,171.635771,7.332967,17.248242,74.107037
Mustard greens,131,103,129,191.009374,6.762661,20.490395,67.149063
Celery,126,108,144,162.885185,6.606868,18.123343,75.139261
Peas,131,103,140,180.941591,6.862409,16.398753,67.835601
Chinese cabbage,190,136,179,205.504698,5.910015,22.596562,63.442777
Bell peppers,148,117,162,196.493488,6.460597,22.957538,60.55709
Cabbage,207,162,202,180.43914,6.010891,19.157364,70.789371
Radishes,130,96,113,158.684618,6.19671,19.035302,68.478456
Tomatoes,174,142,182,227.879379,6.664196,22.272858,67.902577
Spinach,155,128,163,190.598311,6.552836,16.60286,69.475581
Beans,160,126,147,216.217653,6.918797,23.205233,67.673224
Bok choy,160,127,160,185.784776,5.610692,23.775736,65.03392
Radishes,129,100,112,159.345673,6.688543,19.542365,67.304467
Kale,159,112,139,214.629194,6.693012,18.965444,67.866251
Kale,150,119,139,202.559465,6.769151,18.61908,67.323801
Chinese cabbage,184,149,179,204.383408,6.223954,18.030663,62.574883
Tomatoes,162,146,189,231.669233,6.874601,25.143148,63.713226
Tomatoes,174,154,182,229.241109,6.405086,23.203395,64.419775
Tomatoes,160,148,197,221.314901,6.429619,24.435538,69.786449
Celery,121,119,147,175.731067,6.287499,16.885069,76.777916
Spinach,153,132,161,206.450081,6.769486,19.716388,64.139779
Eggplant,143,110,145,207.727938,6.923414,25.109032,65.95352
Lettuce,172,101,155,204.453515,6.342238,23.766389,61.41411
Radishes,114,83,113,158.714641,6.638737,22.087797,60.914584
Cucumbers,165,120,154,211.125792,6.120468,24.466558,62.948293
Cabbage,216,155,213,196.302549,7.009639,16.195888,74.05223
Spinach,155,126,163,197.593309,5.782736,15.78155,69.810423
Cauliflower,172,136,163,197.203424,5.633552,18.030387,65.691698
Eggplant,160,123,131,202.802131,6.555588,23.71333,61.200136
Beans,144,118,148,201.98723,7.496932,18.260622,61.026356
Brussels sprouts,189,156,181,227.829597,5.823091,18.714754,64.606221
Spinach,144,136,179,207.582009,5.638285,16.755767,65.252336
Eggplant,142,130,144,218.503213,7.116139,24.00378,64.004417
Radishes,112,92,104,152.23045,5.794856,22.672264,64.210761
Tomatoes,169,140,198,235.769375,5.892715,21.426806,61.763467
Brussels sprouts,181,152,184,210.887766,6.486054,18.622435,67.242188
Broccoli,200,135,199,206.61192,6.875371,20.490537,62.599902
Brussels sprouts,182,156,199,227.549584,5.848173,18.131511,62.388231
Radishes,117,83,101,152.681035,6.076679,21.819465,64.382315
Lettuce,151,107,157,219.753161,5.543425,21.905713,69.331632
Broccoli,182,128,186,211.297554,5.630669,20.984594,61.183364
Broccoli,194,136,180,212.108823,6.057266,22.587492,68.634907
Tomatoes,163,158,197,230.512088,5.530008,21.63463,61.190394
Bell peppers,132,116,159,197.641255,6.737987,21.105303,60.884156
Tomatoes,164,156,193,236.12793,6.400681,25.895048,63.438927
Tomatoes,162,153,187,221.740664,6.811453,24.059938,60.016244
Brussels sprouts,188,159,180,225.053231,6.924431,15.356594,68.043445
Cucumbers,150,138,149,201.839168,6.222822,20.477277,65.406338
Radishes,130,93,100,151.892246,6.699728,21.200413,61.786702
Cabbage,213,163,208,190.904618,7.114004,17.561281,75.574436
Spinach,141,121,173,205.936024,6.961835,18.963486,65.639792
Tomatoes,180,147,181,224.442082,6.677438,20.593248,67.491952
Mustard greens,149,107,124,192.042708,5.650098,18.923799,64.349604
Tomatoes,173,152,199,235.643581,5.60362,20.445675,66.88798
Tomatoes,160,150,180,222.87251,5.628389,22.344562,69.201182
Broccoli,200,127,199,202.146734,6.87394,22.660791,66.512338
Bok choy,160,120,156,179.455814,6.3781,18.853998,60.074854
Cabbage,213,167,213,181.624205,6.131177,15.929088,77.426172
Brussels sprouts,200,155,200,211.109868,6.194983,18.995895,64.978495
Mustard greens,148,96,139,197.024471,6.286674,23.449085,64.382828
Carrots,134,101,110,188.347805,6.115179,15.304184,77.928933
Beans,154,118,130,203.365198,6.703956,19.875524,61.657415
Lettuce,176,103,158,210.523212,5.521945,22.434741,66.988439
Radishes,126,82,102,163.836782,6.01476,22.258069,68.968681
Cauliflower,174,135,179,195.09778,6.680485,21.82395,67.939037
Bell peppers,132,102,157,192.763231,5.660852,21.989985,62.075078
Spinach,158,128,164,204.799189,5.870127,17.419502,66.846342
Cabbage,201,153,211,184.568777,7.077311,18.692223,74.168276
Cabbage,212,154,212,183.714056,7.187453,17.945739,71.195424
Chinese cabbage,175,133,164,205.810706,6.643261,19.218294,63.951879
Bok choy,167,136,150,188.019704,6.501826,19.902405,60.47452
Carrots,134,103,106,176.678125,7.382935,16.441468,73.093127
Broccoli,197,123,183,214.108695,5.806733,19.217084,66.941925
Mustard greens,142,93,128,189.429367,5.570685,20.020728,61.085468
Peas,140,104,133,185.657965,6.783371,16.264573,60.801431
Beans,151,114,135,219.344434,6.517251,22.429893,68.315316
Celery,128,102,143,169.779666,6.771466,16.392792,73.08941
Carrots,132,99,118,188.327426,6.568715,17.477193,72.658226
Spinach,143,127,171,198.201206,5.519047,18.801289,61.827937
Bok choy,158,122,145,182.384431,5.790596,21.197414,62.809909
Spinach,152,133,164,206.10575,6.31291,15.50177,63.752532
Eggplant,145,121,131,214.901037,6.352988,20.538445,65.41643
Brussels sprouts,186,167,198,214.237844,5.919679,17.33861,65.967947
Spinach,149,129,161,203.20111,6.162712,17.895676,66.642046
Eggplant,145,121,139,213.239537,7.364763,20.784527,64.869943
Bok choy,170,135,153,170.589596,6.826254,20.507767,67.057237
Cucumbers,163,124,159,213.942413,5.932838,23.628043,62.705439
Bok choy,156,124,155,178.581995,6.996176,22.978691,62.128671
Brussels sprouts,182,169,183,225.421868,6.535797,16.771141,65.265254
Radishes,113,95,119,156.429411,5.537351,23.200924,64.127566
Kale,159,117,143,200.128453,6.982312,16.159223,65.459155
Bok choy,169,121,153,184.907419,6.06376,21.556938,67.551544
Tomatoes,162,145,186,227.784838,6.098585,22.444169,60.903109
Bok choy,161,140,151,183.513457,6.373061,22.711448,60.1828
Bok choy,164,140,152,179.239471,6.368797,23.328099,61.724355
Broccoli,186,139,190,213.376477,6.843852,21.962563,63.063028
Radishes,128,93,104,159.322359,6.500335,21.271779,66.632892
Radishes,124,80,114,156.153951,6.245831,22.383908,66.175692
Bok choy,152,129,156,185.912423,5.590489,23.425076,64.642317
Celery,126,119,141,164.442715,6.412498,16.666187,77.12407
Bok choy,152,133,145,189.411347,6.890616,22.554216,61.729659
Chinese cabbage,188,142,166,199.406506,5.698489,20.338122,69.883352
Lettuce,179,104,169,206.488278,6.95981,22.534026,61.294552
Cucumbers,152,121,145,208.503648,6.081034,25.484151,61.670743
Zucchini,169,130,166,222.244115,5.567593,23.667521,62.318007
Brussels sprouts,190,156,193,214.440368,6.663912,19.08572,64.607354
Tomatoes,175,148,184,232.033171,5.527629,23.829853,68.253799
Zucchini,178,147,163,231.381292,5.618924,25.032154,62.797456
Chinese cabbage,173,138,165,190.852649,5.839965,20.09525,65.104451
Beans,150,116,140,210.582424,6.535412,19.259869,60.363673
Brussels sprouts,189,162,192,226.447686,6.142079,18.594769,65.857216
Chinese cabbage,188,150,167,193.569861,6.625381,19.873236,66.666538
Peas,136,112,135,199.550555,6.502646,19.259485,60.470502
Peas,132,103,133,194.156649,6.251398,18.253292,62.822108
Bell peppers,136,117,169,188.003856,6.66662,20.789543,63.365487
Cucumbers,162,124,141,200.494322,6.761092,22.796641,65.399519
Eggplant,144,110,130,210.229963,7.493457,24.078229,64.006951
Carrots,129,99,102,178.908875,7.396952,16.07509,79.24687
Eggplant,140,117,146,201.811424,7.03735,24.328557,62.536562
Zucchini,169,130,150,224.359033,6.84369,20.034974,63.01374
Carrots,120,106,102,171.281816,6.53978,16.807087,79.621998
Mustard greens,146,99,121,192.462735,5.618907,19.991856,64.875752
Bell peppers,147,108,164,192.114205,6.678125,23.41393,60.987837
Cabbage,220,156,206,183.276683,7.487186,15.703461,72.69391
Tomatoes,170,152,190,228.607625,6.358931,25.596113,68.374947
Spinach,141,140,174,198.373313,6.353161,19.517572,60.481392
Mustard greens,148,102,125,185.399845,5.752297,20.003739,61.000968
Bok choy,167,122,140,174.854186,6.342794,18.027973,65.131075
Cucumbers,166,135,148,212.816611,5.738157,23.29669,64.674137
Mustard greens,130,94,130,184.172927,5.57965,19.83713,64.122795
Zucchini,176,132,161,220.785962,6.282495,23.881348,60.560948
Brussels sprouts,198,155,194,213.901486,6.782309,19.538488,66.427128
Carrots,140,106,112,187.606767,7.244794,17.287649,77.811601
Mustard greens,135,100,139,185.953416,6.215351,18.081604,68.147424
Celery,122,103,138,179.938866,6.859609,15.89696,75.642031
Mustard greens,141,94,137,183.769747,5.939393,20.076658,64.833753
Chinese cabbage,186,130,165,197.315284,6.267051,22.004948,62.811433
Radishes,112,94,120,151.942957,5.90804,21.880634,61.834317
Cucumbers,159,139,160,207.673093,6.550531,23.217832,62.122984
Cabbage,202,167,206,193.389725,7.171852,16.832952,79.357571
Bell peppers,137,106,157,182.358021,6.05991,22.836486,63.496815
Mustard greens,138,101,121,195.564685,6.057647,22.628554,66.499321
Beans,143,115,148,202.402903,7.010918,22.450334,66.445651
Kale,152,116,139,200.842269,5.751698,19.304635,60.46529
Eggplant,152,117,149,215.292608,7.206679,24.587501,62.210844
Cucumbers,153,135,158,200.653718,5.869377,24.140158,63.00787
Bok choy,170,128,143,170.694699,6.935295,21.427488,65.735167
Cucumbers,152,133,151,214.639803,6.21441,23.478476,63.670388
Beans,145,122,140,205.91995,6.265897,18.282145,63.39932
Broccoli,198,138,183,211.726288,6.68706,21.882741,68.162675
Celery,121,101,146,164.702238,6.131248,15.877858,78.9872
Radishes,113,90,117,151.795691,6.421346,23.891131,65.914805
Chinese cabbage,172,144,176,206.137218,6.234795,21.099592,62.272411
Cucumbers,156,126,146,209.568277,5.809639,22.250466,60.399516
Cauliflower,189,150,160,204.733444,5.759078,18.788914,63.007807
Cabbage,217,154,218,189.367524,7.003527,17.691031,70.94899
Radishes,128,90,105,161.46093,6.459522,23.198911,69.248579
Cabbage,218,170,211,182.551991,6.721956,17.212503,73.292198
Tomatoes,163,155,181,226.265357,5.598836,22.377317,67.061953
Celery,125,102,135,172.688248,6.356761,19.998337,72.906173
Brussels sprouts,181,160,181,220.768828,6.751938,17.800087,65.002065
Radishes,112,97,105,159.53721,5.655868,23.132279,65.035555
Zucchini,180,143,150,227.235679,6.127278,23.260926,68.324982
Peas,131,105,139,195.776967,6.137936,17.091996,61.707172
Lettuce,166,110,179,218.53868,6.97513,18.835463,63.29064
Brussels sprouts,183,155,198,223.021519,5.867818,19.347185,64.344507
Spinach,159,130,176,202.905015,6.161627,15.813127,66.204867
Bell peppers,150,117,164,197.31287,5.815223,23.047851,62.874372
Zucchini,168,136,167,231.577702,6.474427,23.77288,63.492061
Beans,150,118,145,212.738429,6.028219,23.696579,61.643554
Broccoli,184,130,185,204.032148,6.8573,20.164543,69.233032
Beans,155,122,145,219.940016,6.345859,21.99004,64.644683
Cauliflower,182,149,171,200.813904,6.45055,22.879887,61.825233
Bok choy,155,139,145,188.987021,5.715105,21.756346,66.240257
Bell peppers,130,108,166,182.688998,6.689577,25.131412,67.834989
Spinach,157,128,163,194.258864,6.934718,17.095869,64.216459
Bok choy,155,138,143,186.805112,5.75522,22.697883,63.44258
Broccoli,190,121,188,212.608212,5.684827,23.416092,62.063726
Kale,154,106,150,209.760396,6.536054,18.514752,62.983212
Cucumbers,158,133,151,204.018087,6.235036,22.068024,64.027017
Brussels sprouts,188,170,181,211.471784,5.835242,15.636328,64.906711
Cabbage,216,169,215,188.600806,6.173273,17.464669,71.958057
Brussels sprouts,183,153,189,214.490702,5.973664,17.937462,64.500276
Lettuce,179,109,157,210.207321,6.32213,22.375132,68.497577
Tomatoes,174,158,186,239.806858,6.215606,22.159535,64.255594
Beans,154,112,137,201.242908,6.067863,22.410844,62.917305
Broccoli,183,132,184,202.986818,6.453782,22.445558,68.831309
Chinese cabbage,185,135,170,201.570423,6.476035,18.342365,64.762114
Cabbage,209,162,202,183.632496,6.879799,16.930658,74.100291
Celery,124,115,135,167.057506,6.489509,19.962422,72.080637
Bell peppers,134,103,154,187.439573,6.600868,22.102833,66.773062
Eggplant,156,124,141,207.075946,6.152202,25.058464,65.341418
Chinese cabbage,176,133,168,205.857167,6.554479,19.162422,62.453701
Radishes,111,100,100,159.239589,6.786373,19.212616,62.448364
Cucumbers,151,140,155,219.553589,6.607146,25.511605,60.282408
Spinach,151,129,162,201.490631,6.204451,18.527265,61.319148
Chinese cabbage,189,136,173,190.795221,6.807368,21.787024,66.867652
Broccoli,192,124,199,201.3484,6.504879,18.688775,60.271731
Bok choy,162,122,148,186.291087,5.525103,22.540156,60.418064
Celery,136,100,139,177.024226,7.21574,18.262167,74.325856
Kale,152,111,139,208.002625,6.065177,18.154508,65.239825
Bell peppers,143,120,162,182.784039,6.935035,25.881807,69.666367
Lettuce,165,101,168,207.789254,5.762393,22.680694,69.673884
Chinese cabbage,187,150,178,192.381858,6.004526,18.93725,68.917958
Zucchini,168,137,170,224.870845,5.542028,21.610139,68.663635
Carrots,131,94,106,174.057477,7.490113,19.278182,73.055965
Peas,145,119,132,187.14222,6.282274,16.620383,67.671472
Zucchini,177,149,165,233.534106,6.213036,22.551916,69.493935
Lettuce,161,107,160,203.102564,6.879283,23.633727,66.875853
Eggplant,159,125,150,206.088203,6.447085,25.465969,69.682087
Celery,130,101,140,177.075178,6.164562,19.896908,73.738443
Cabbage,205,152,206,194.196511,6.065115,18.478558,74.94183
Tomatoes,170,142,184,234.65237,6.218874,22.918156,65.516952
Bell peppers,148,109,161,194.498649,6.113329,24.581007,66.726669
Radishes,125,99,106,161.265885,6.404618,21.189949,65.952593
Brussels sprouts,181,151,199,216.515532,6.87435,16.12402,66.621869
Broccoli,184,127,180,209.482568,6.969854,22.470953,63.032989
Cauliflower,170,141,164,193.151033,5.875478,20.237083,67.738641
Mustard greens,138,95,120,197.576305,5.568781,22.267737,68.438187
Eggplant,157,124,149,211.203581,6.926206,22.17418,61.617741
Bell peppers,144,102,160,182.751747,6.616299,20.911829,61.435286
Lettuce,150,114,160,201.848992,5.910104,21.336635,65.043284
Tomatoes,163,154,184,232.724065,6.009353,21.199144,64.643924
Broccoli,180,126,191,210.310971,6.55616,19.392784,61.645974
Beans,145,110,147,206.694668,6.378955,22.203125,64.681057
Kale,159,113,143,202.442669,6.011484,19.543653,66.550027
Kale,153,120,137,202.115189,6.489618,15.226031,63.78443
Carrots,123,99,102,179.887047,6.704687,18.547166,70.706338
Radishes,116,89,110,163.348726,6.169554,23.247563,61.737704
Kale,149,106,150,218.54748,5.702355,15.174972,63.520188
Cucumbers,164,131,149,202.748655,5.632152,23.61901,67.775666
Celery,127,120,137,163.626089,6.136393,16.330241,70.143656
Mustard greens,138,95,130,182.263369,5.577143,21.088664,64.816277
Brussels sprouts,180,153,183,223.948682,6.686662,16.209031,66.031823
Tomatoes,178,142,190,234.086518,6.866906,21.040911,60.576499
Cucumbers,153,137,140,210.373991,6.788215,23.139571,64.311457
Broccoli,200,126,185,211.008389,6.615939,19.213019,65.111875
Mustard greens,133,110,128,184.920006,6.245631,19.333316,63.148512
Carrots,130,90,109,179.226035,6.352948,19.090213,72.025315
Carrots,122,105,101,179.895547,6.137859,18.445715,77.075044
Celery,129,105,132,176.157872,6.558664,18.909495,70.921053
Broccoli,186,140,184,212.128111,6.886712,22.300643,65.683312
Cabbage,207,161,219,183.958332,7.316146,17.996981,70.718452
Broccoli,189,125,183,204.765159,6.147665,23.047872,67.545582
Brussels sprouts,182,160,183,219.947646,6.063836,17.26141,60.3637
Radishes,125,99,109,154.942727,5.990139,23.027494,69.582334
Carrots,135,94,107,170.917879,7.027886,16.246858,77.518846
Chinese cabbage,189,149,165,192.946874,5.848521,21.291987,62.584897
Lettuce,150,113,151,210.709798,5.868397,19.216691,63.198746
Cabbage,220,150,218,185.671038,6.662479,19.332033,78.538044
Tomatoes,180,140,192,235.984042,6.209166,24.054055,61.693093
Kale,148,105,150,211.518871,6.624823,19.436539,65.398544
Cabbage,204,160,218,188.06714,6.920595,16.918845,70.237631
Kale,146,113,146,209.267156,5.64326,17.953095,66.65308
Brussels sprouts,190,163,194,212.503967,5.946237,18.324443,67.307856
Zucchini,164,145,153,227.907583,6.073623,23.759746,62.425048
Bell peppers,135,108,164,182.929775,6.689235,22.930402,69.588306
